,Carats,Name,Country,Mine,Date,Current owner
98,232.1,unknown,South Africa,Cullinan Mine,2014,unknown
99,232.05,Star of Yakutia [ru],Russia /  Soviet Union,Mir mine,1973,"Diamond Fund, Moscow"
100,227.0,unknown,Angola,Lulo Mine,2017,Lucapa Diamond
101,224.47,unknown,Botswana,Karowe Mine,2016,unknown
102,223,unknown,Botswana,Karowe Mine,2019,unknown
103,221.47,Manhattan Lycos White,South Africa,Manhattan Diamonds,2012,unknown
104,217.39,The Angola Star,Angola,Luarica Mine,2007,"Diamond in the Rough, New York City"
105,216.96,unknown,Botswana,Karowe Mine,2017,unknown
106,215,unknown,Lesotho,Mothae Mine,2021,unknown
107,214.65,Boris Eifman [ru],Russia,Nyurbinskoye mine,2016,Alrosa
108,210.55,Premier [ru],Russia /  Soviet Union,Mir mine,1991,"Diamond Fund, Moscow"
109,208.0,unknown,Angola,Lulo Mine,2023,unknown
110,207.29,Children of Asia,Russia,Zarnitsa mine,2016,Alrosa
111,203.0,unknown,Angola,Lulo Mine,2024,unknown
112,202,unknown,Lesotho,Letseng Mine,2017,Bought by Taché Diamonds & Samir Gems
113,200.74,60th anniversary of the Komsomol [ru],Russia /  Soviet Union,Mir mine,1978,"Diamond Fund, Moscow"
